content,case folding,tokenizing,normalisasi,stemming teks,filtering-teks
"Saya sebenarnya kurang setuju dgn pemberlakuan wajib menggunakan e tiket seperti ini karena tdk sesuai untuk para lansia dan org2 tidak mampu yg tdk memiliki android atau keduanya. Ini hanya memudahkan bagi golongan tertentu saja, selain itu, menurut saya aplikasi ini belum matang dan masih banyak terjadi error. Monopoli pembayaran oleh linkAja juga memberatkan, seperti gojek dgn gopay, grab dgn ovo dan KAI dengan linkAja, harus ada brp dompet dibagi2 seperti ini tidak lah efektif. Terimakasih.",saya sebenarnya kurang setuju  pemberlakuan wajib menggunakan  tiket seperti  karena  sesuai untuk para lansia   tidak mampu   memiliki android atau keduanya  hanya memudahkan bagi golongan tertentu saja selain  menurut saya aplikasi  belum matang  masih banyak terjadi error monopoli pembayaran oleh linkaja juga memberatkan seperti gojek  gopay grab    kai dengan linkaja harus   dompet dibagi seperti  tidak  efektif terimakasih,"['saya', 'sebenarnya', 'kurang', 'setuju', 'pemberlakuan', 'wajib', 'menggunakan', 'tiket', 'seperti', 'karena', 'sesuai', 'untuk', 'para', 'lansia', 'tidak', 'mampu', 'memiliki', 'android', 'atau', 'keduanya', 'hanya', 'memudahkan', 'bagi', 'golongan', 'tertentu', 'saja', 'selain', 'menurut', 'saya', 'aplikasi', 'belum', 'matang', 'masih', 'banyak', 'terjadi', 'error', 'monopoli', 'pembayaran', 'oleh', 'linkaja', 'juga', 'memberatkan', 'seperti', 'gojek', 'gopay', 'grab', 'kai', 'dengan', 'linkaja', 'harus', 'dompet', 'dibagi', 'seperti', 'tidak', 'efektif', 'terimakasih']","['saya', 'sebenarnya', 'kurang', 'setuju', 'pemberlakuan', 'wajib', 'menggunakan', 'tiket', 'seperti', 'karena', 'sesuai', 'untuk', 'para', 'lansia', 'tidak', 'mampu', 'memiliki', 'android', 'atau', 'keduanya', 'hanya', 'memudahkan', 'bagi', 'golongan', 'tertentu', 'saja', 'selain', 'menurut', 'saya', 'aplikasi', 'belum', 'matang', 'masih', 'banyak', 'terjadi', 'kesalahan', 'monopoli', 'pembayaran', 'oleh', 'linkaja', 'juga', 'memberatkan', 'seperti', 'gojek', 'gopay', 'grab', 'kai', 'dengan', 'linkaja', 'harus', 'dompet', 'dibagi', 'seperti', 'tidak', 'efektif', 'terima', 'kasih']","['saya', 'benar', 'kurang', 'tuju', 'laku', 'wajib', 'guna', 'tiket', 'seperti', 'karena', 'sesuai', 'untuk', 'para', 'lansia', 'tidak', 'mampu', 'milik', 'android', 'atau', 'dua', 'hanya', 'mudah', 'bagi', 'golong', 'tentu', 'saja', 'selain', 'turut', 'saya', 'aplikasi', 'belum', 'matang', 'masih', 'banyak', 'jadi', 'salah', 'monopoli', 'bayar', 'oleh', 'linkaja', 'juga', 'berat', 'seperti', 'gojek', 'gopay', 'grab', 'kai', 'dengan', 'linkaja', 'harus', 'dompet', 'bagi', 'seperti', 'tidak', 'efektif', 'terima', 'kasih']","['tuju', 'laku', 'wajib', 'tiket', 'sesuai', 'lansia', 'milik', 'android', 'mudah', 'golong', 'aplikasi', 'matang', 'salah', 'monopoli', 'bayar', 'linkaja', 'berat', 'gojek', 'gopay', 'grab', 'kai', 'linkaja', 'dompet', 'efektif', 'terima', 'kasih']"
"Nice App, Cuman Kadang Sering Error. Kalau Aplikasi dalam tahap pembenahan tolong bisa diinfokan ke media sosialnya juag yaa, agar para user tahu bahwa apknya sedang maintenance atau pembenahan. Yaa untuk ukuran Pengembangan Sudah Cukup Bagus. Sudah Bintang Lima Yaa, Pelayanan Selalu Memuaskan yaa😊",nice  cuman kadang sering error kalau aplikasi dalam tahap pembenahan tolong bisa diinfokan  media sosialnya juag  agar para user tahu bahwa apknya sedang maintenance atau pembenahan  untuk ukuran pengembangan sudah cukup bagus sudah bintang lima  pelayanan selalu memuaskan ,"['nice', 'cuman', 'kadang', 'sering', 'error', 'kalau', 'aplikasi', 'dalam', 'tahap', 'pembenahan', 'tolong', 'bisa', 'diinfokan', 'media', 'sosialnya', 'juag', 'agar', 'para', 'user', 'tahu', 'bahwa', 'apknya', 'sedang', 'maintenance', 'atau', 'pembenahan', 'untuk', 'ukuran', 'pengembangan', 'sudah', 'cukup', 'bagus', 'sudah', 'bintang', 'lima', 'pelayanan', 'selalu', 'memuaskan']","['bagus', 'hanya', 'terkadang', 'sering', 'kesalahan', 'jika', 'aplikasi', 'dalam', 'tahap', 'pembenahan', 'tolong', 'bisa', 'diinformasikan', 'media', 'sosialnya', 'juga', 'agar', 'para', 'pengguna', 'tahu', 'bahwa', 'aplikasinya', 'sedang', 'pemeliharaan', 'atau', 'pembenahan', 'untuk', 'ukuran', 'pengembangan', 'sudah', 'cukup', 'bagus', 'sudah', 'bintang', 'lima', 'pelayanan', 'selalu', 'memuaskan']","['bagus', 'hanya', 'terkadang', 'sering', 'salah', 'jika', 'aplikasi', 'dalam', 'tahap', 'benah', 'tolong', 'bisa', 'informasi', 'media', 'sosial', 'juga', 'agar', 'para', 'guna', 'tahu', 'bahwa', 'aplikasi', 'sedang', 'pelihara', 'atau', 'benah', 'untuk', 'ukur', 'kembang', 'sudah', 'cukup', 'bagus', 'sudah', 'bintang', 'lima', 'layan', 'selalu', 'muas']","['bagus', 'terkadang', 'salah', 'aplikasi', 'tahap', 'benah', 'tolong', 'informasi', 'media', 'sosial', 'aplikasi', 'pelihara', 'benah', 'ukur', 'kembang', 'bagus', 'bintang', 'layan', 'muas']"
"Habis di upgrade malah akun tidak bisa di akses.. sampai perlu penanganan CS, dan akhirnya semua histori hilang... Yuuk PT.KAI tingkatkan aplikasinya yah.. agar tidak terjadi lagi saat upgrade sistem... #sbg pelanggan setia anda 😊",habis  upgrade malah akun tidak bisa  akses sampai perlu penanganan   akhirnya semua histori hilang yuuk ptkai tingkatkan aplikasinya  agar tidak terjadi lagi saat upgrade sistem pelanggan setia anda,"['habis', 'upgrade', 'malah', 'akun', 'tidak', 'bisa', 'akses', 'sampai', 'perlu', 'penanganan', 'akhirnya', 'semua', 'histori', 'hilang', 'yuuk', 'ptkai', 'tingkatkan', 'aplikasinya', 'agar', 'tidak', 'terjadi', 'lagi', 'saat', 'upgrade', 'sistem', 'pelanggan', 'setia', 'anda']","['habis', 'pembaruan', 'namun', 'akun', 'tidak', 'bisa', 'akses', 'sampai', 'perlu', 'penanganan', 'akhirnya', 'semua', 'histori', 'hilang', 'ayo', 'pt', 'kai', 'tingkatkan', 'aplikasi', 'nya', 'agar', 'tidak', 'terjadi', 'lagi', 'saat', 'pembaruan', 'sistem', 'pelanggan', 'setia', 'anda']","['habis', 'baru', 'namun', 'akun', 'tidak', 'bisa', 'akses', 'sampai', 'perlu', 'tangan', 'akhir', 'semua', 'histori', 'hilang', 'ayo', 'pt', 'kai', 'tingkat', 'aplikasi', 'nya', 'agar', 'tidak', 'jadi', 'lagi', 'saat', 'baru', 'sistem', 'langgan', 'setia', 'anda']","['habis', 'akun', 'akses', 'tangan', 'histori', 'hilang', 'pt', 'kai', 'tingkat', 'aplikasi', 'sistem', 'langgan', 'setia']"
dengan access bu Kai semua jadi mudah memesan tiket KA,dengan access  kai semua jadi mudah memesan tiket ,"['dengan', 'access', 'kai', 'semua', 'jadi', 'mudah', 'memesan', 'tiket']","['dengan', 'access', 'kai', 'semua', 'sehingga', 'mudah', 'memesan', 'tiket']","['dengan', 'access', 'kai', 'semua', 'sehingga', 'mudah', 'mes', 'tiket']","['access', 'kai', 'mudah', 'mes', 'tiket']"
"utk pindah kursi, menngganti nya terlalu lama dan tidak sistematis seperti aplikasi seblm nya.. lebih mudah dalam pemindahan kursi penumpang.. selebih nya, keren.. kereta Api Alternatif Perjalanan terbaik saat ini.", pindah kursi menngganti  terlalu lama  tidak sistematis seperti aplikasi seblm  lebih mudah dalam pemindahan kursi penumpang selebih  keren kereta  alternatif perjalanan terbaik saat ,"['pindah', 'kursi', 'menngganti', 'terlalu', 'lama', 'tidak', 'sistematis', 'seperti', 'aplikasi', 'seblm', 'lebih', 'mudah', 'dalam', 'pemindahan', 'kursi', 'penumpang', 'selebih', 'keren', 'kereta', 'alternatif', 'perjalanan', 'terbaik', 'saat']","['pindah', 'kursi', 'mengganti', 'terlalu', 'lama', 'tidak', 'sistematis', 'seperti', 'aplikasi', 'sebelum', 'lebih', 'mudah', 'dalam', 'pemindahan', 'kursi', 'penumpang', 'selebih', 'keren', 'kereta', 'alternatif', 'perjalanan', 'terbaik', 'saat']","['pindah', 'kursi', 'ganti', 'terlalu', 'lama', 'tidak', 'sistematis', 'seperti', 'aplikasi', 'belum', 'lebih', 'mudah', 'dalam', 'pindah', 'kursi', 'tumpang', 'lebih', 'keren', 'kereta', 'alternatif', 'jalan', 'baik', 'saat']","['pindah', 'kursi', 'ganti', 'sistematis', 'aplikasi', 'mudah', 'pindah', 'kursi', 'tumpang', 'keren', 'kereta', 'alternatif', 'jalan']"
Pelayanan baik menyenangkan perjalanan semua jadi lancar dan selalu mendapatkan tempat duduk tidak berdesak desakan lagi seperti dahulu.datangnya juga tepat waktu.hampir tiap jam ada trayek.,pelayanan baik menyenangkan perjalanan semua jadi lancar  selalu mendapatkan tempat duduk tidak berdesak desakan lagi seperti dahuludatangnya juga tepat waktuhampir tiap   trayek,"['pelayanan', 'baik', 'menyenangkan', 'perjalanan', 'semua', 'jadi', 'lancar', 'selalu', 'mendapatkan', 'tempat', 'duduk', 'tidak', 'berdesak', 'desakan', 'lagi', 'seperti', 'dahuludatangnya', 'juga', 'tepat', 'waktuhampir', 'tiap', 'trayek']","['pelayanan', 'baik', 'menyenangkan', 'perjalanan', 'semua', 'sehingga', 'lancar', 'selalu', 'mendapatkan', 'tempat', 'duduk', 'tidak', 'berdesak', 'desakan', 'lagi', 'seperti', 'dahulu', 'datangnya', 'juga', 'tepat', 'waktu', 'hampir', 'tiap', 'rute']","['layan', 'baik', 'senang', 'jalan', 'semua', 'sehingga', 'lancar', 'selalu', 'dapat', 'tempat', 'duduk', 'tidak', 'desak', 'desa', 'lagi', 'seperti', 'dahulu', 'datang', 'juga', 'tepat', 'waktu', 'hampir', 'tiap', 'rute']","['layan', 'senang', 'jalan', 'lancar', 'duduk', 'desak', 'desa', 'rute']"
"Setelah 10 thn, baru 2 minggu lalu sy kembali naik kereta, dan menggunakan aplikasi ini, secara umum bagus dan sgt membantu, awalny terkendala aplikasi tdk bisa dibuka, tp sdh ada jawaban teknis dr KAI dan sy ikuti dan bisa, proses buka akun, verifikasi, login tdk terkendala. Kendala ada d metode pembayaran, yg selalu dikatakan waktu anda habis. Kendala jg kalau penumpang lbh dr 4.",setelah  baru minggu lalu  kembali naik kereta  menggunakan aplikasi  secara umum bagus   membantu awalny terkendala aplikasi  bisa dibuka    jawaban teknis  kai   ikuti  bisa proses buka akun verifikasi login  terkendala kendala   metode pembayaran  selalu dikatakan waktu anda habis kendala  kalau penumpang  ,"['setelah', 'baru', 'minggu', 'lalu', 'kembali', 'naik', 'kereta', 'menggunakan', 'aplikasi', 'secara', 'umum', 'bagus', 'membantu', 'awalny', 'terkendala', 'aplikasi', 'bisa', 'dibuka', 'jawaban', 'teknis', 'kai', 'ikuti', 'bisa', 'proses', 'buka', 'akun', 'verifikasi', 'login', 'terkendala', 'kendala', 'metode', 'pembayaran', 'selalu', 'dikatakan', 'waktu', 'anda', 'habis', 'kendala', 'kalau', 'penumpang']","['setelah', 'baru', 'minggu', 'lalu', 'kembali', 'naik', 'kereta', 'menggunakan', 'aplikasi', 'secara', 'umum', 'bagus', 'membantu', 'awalnya', 'terkendala', 'aplikasi', 'bisa', 'dibuka', 'jawaban', 'teknis', 'kai', 'ikuti', 'bisa', 'proses', 'buka', 'akun', 'verifikasi', 'masuk', 'aplikasi', 'terkendala', 'masalah', 'metode', 'pembayaran', 'selalu', 'dikatakan', 'waktu', 'anda', 'habis', 'masalah', 'jika', 'penumpang']","['telah', 'baru', 'minggu', 'lalu', 'kembali', 'naik', 'kereta', 'guna', 'aplikasi', 'cara', 'umum', 'bagus', 'bantu', 'awal', 'kendala', 'aplikasi', 'bisa', 'buka', 'jawab', 'teknis', 'kai', 'ikut', 'bisa', 'proses', 'buka', 'akun', 'verifikasi', 'masuk', 'aplikasi', 'kendala', 'masalah', 'metode', 'bayar', 'selalu', 'kata', 'waktu', 'anda', 'habis', 'masalah', 'jika', 'tumpang']","['minggu', 'kereta', 'aplikasi', 'bagus', 'bantu', 'kendala', 'aplikasi', 'buka', 'teknis', 'kai', 'proses', 'buka', 'akun', 'verifikasi', 'masuk', 'aplikasi', 'kendala', 'metode', 'bayar', 'habis', 'tumpang']"
"Aplikasi ini sudah bagus. Tp saya mau kasih masukan lagi untuk aplikasi ini.. Soal lupa password untuk bisa ditambahin pilihan pengiriman tautan ke no.hp juga jangan cuma email saja. Gimana, Oke gak min? Ini saya ada kasus, saya lupa nama email yg lama yg buat daftar itu apa. Dan skrg saya mau dftar pakai email baru dan no.hp yg lama gak bisa, soalnya no.hp saya yg lama sudah tersimpan di database KAI access.. Atau ada pilihan lain gak min agar bisa tetep pakai no.hp yg lama? Terima kasih.!",aplikasi  sudah bagus  saya  kasih masukan lagi untuk aplikasi  soal lupa password untuk bisa ditambahin pilihan pengiriman tautan  nohp juga jangan cuma email saja gimana     saya  kasus saya lupa nama email  lama  buat daftar    skrg saya  dftar pakai email baru  nohp  lama  bisa soalnya nohp saya  lama sudah tersimpan  database kai access atau  pilihan lain   agar bisa tetep pakai nohp  lama terima kasih,"['aplikasi', 'sudah', 'bagus', 'saya', 'kasih', 'masukan', 'lagi', 'untuk', 'aplikasi', 'soal', 'lupa', 'password', 'untuk', 'bisa', 'ditambahin', 'pilihan', 'pengiriman', 'tautan', 'nohp', 'juga', 'jangan', 'cuma', 'email', 'saja', 'gimana', 'saya', 'kasus', 'saya', 'lupa', 'nama', 'email', 'lama', 'buat', 'daftar', 'skrg', 'saya', 'dftar', 'pakai', 'email', 'baru', 'nohp', 'lama', 'bisa', 'soalnya', 'nohp', 'saya', 'lama', 'sudah', 'tersimpan', 'database', 'kai', 'access', 'atau', 'pilihan', 'lain', 'agar', 'bisa', 'tetep', 'pakai', 'nohp', 'lama', 'terima', 'kasih']","['aplikasi', 'sudah', 'bagus', 'saya', 'kasih', 'masukan', 'lagi', 'untuk', 'aplikasi', 'soal', 'lupa', 'kata', 'sandi', 'untuk', 'bisa', 'ditambahin', 'pilihan', 'pengiriman', 'tautan', 'nomor', 'telepon', 'juga', 'jangan', 'hanya', 'email', 'saja', 'bagaimana', 'saya', 'kasus', 'saya', 'lupa', 'nama', 'email', 'lama', 'untuk', 'daftar', 'sekarang', 'saya', 'daftar', 'gunakan', 'email', 'baru', 'nomor', 'telepon', 'lama', 'bisa', 'karena', 'nomor', 'telepon', 'saya', 'lama', 'sudah', 'tersimpan', 'database', 'kai', 'access', 'atau', 'pilihan', 'lain', 'agar', 'bisa', 'tetap', 'gunakan', 'nomor', 'telepon', 'lama', 'terima', 'kasih']","['aplikasi', 'sudah', 'bagus', 'saya', 'kasih', 'masuk', 'lagi', 'untuk', 'aplikasi', 'soal', 'lupa', 'kata', 'sandi', 'untuk', 'bisa', 'ditambahin', 'pilih', 'kirim', 'taut', 'nomor', 'telepon', 'juga', 'jangan', 'hanya', 'email', 'saja', 'bagaimana', 'saya', 'kasus', 'saya', 'lupa', 'nama', 'email', 'lama', 'untuk', 'daftar', 'sekarang', 'saya', 'daftar', 'guna', 'email', 'baru', 'nomor', 'telepon', 'lama', 'bisa', 'karena', 'nomor', 'telepon', 'saya', 'lama', 'sudah', 'simpan', 'database', 'kai', 'access', 'atau', 'pilih', 'lain', 'agar', 'bisa', 'tetap', 'guna', 'nomor', 'telepon', 'lama', 'terima', 'kasih']","['aplikasi', 'bagus', 'kasih', 'masuk', 'aplikasi', 'lupa', 'sandi', 'ditambahin', 'pilih', 'kirim', 'taut', 'nomor', 'telepon', 'email', 'lupa', 'nama', 'email', 'daftar', 'daftar', 'email', 'nomor', 'telepon', 'nomor', 'telepon', 'simpan', 'database', 'kai', 'access', 'pilih', 'nomor', 'telepon', 'terima', 'kasih']"
"semenjak ada aplikasi kai access saya sangat mudah untuk berpergian karena bisa langsung pesan tiket lewat aplikasi, tidak usah pergi ke stasiun, karena saya sering berpergian jadi aplikasi ini sangat memudahkan untuk saya",semenjak  aplikasi kai access saya sangat mudah untuk berpergian karena bisa langsung pesan tiket lewat aplikasi tidak usah pergi  stasiun karena saya sering berpergian jadi aplikasi  sangat memudahkan untuk saya,"['semenjak', 'aplikasi', 'kai', 'access', 'saya', 'sangat', 'mudah', 'untuk', 'berpergian', 'karena', 'bisa', 'langsung', 'pesan', 'tiket', 'lewat', 'aplikasi', 'tidak', 'usah', 'pergi', 'stasiun', 'karena', 'saya', 'sering', 'berpergian', 'jadi', 'aplikasi', 'sangat', 'memudahkan', 'untuk', 'saya']","['sejak', 'aplikasi', 'kai', 'access', 'saya', 'sangat', 'mudah', 'untuk', 'berpergian', 'karena', 'bisa', 'langsung', 'pesan', 'tiket', 'lewat', 'aplikasi', 'tidak', 'usah', 'bepergian', 'stasiun', 'karena', 'saya', 'sering', 'berpergian', 'sehingga', 'aplikasi', 'sangat', 'memudahkan', 'untuk', 'saya']","['sejak', 'aplikasi', 'kai', 'access', 'saya', 'sangat', 'mudah', 'untuk', 'pergi', 'karena', 'bisa', 'langsung', 'pesan', 'tiket', 'lewat', 'aplikasi', 'tidak', 'usah', 'pergi', 'stasiun', 'karena', 'saya', 'sering', 'pergi', 'sehingga', 'aplikasi', 'sangat', 'mudah', 'untuk', 'saya']","['aplikasi', 'kai', 'access', 'mudah', 'pergi', 'langsung', 'pesan', 'tiket', 'aplikasi', 'pergi', 'stasiun', 'pergi', 'aplikasi', 'mudah']"
Aplikasi yang keren dan selalu pake ini kalo mau pesen tiket kereta. Tp KENAPA? Kenapa gabisa transfer lewat mbanking atau klikbca? Harus lewat ATM. Bukannya aplikasi ini dibuat supaya bisa pesen tiket dari rumah? Kalo pembayaran hanya bisa dilakukan lewat ATM sama aja harus pergi. Gak ada lewat virtual account gitu? Biar mudah,aplikasi yang keren  selalu pake  kalo  pesen tiket kereta  kenapa kenapa gabisa transfer lewat mbanking atau klikbca harus lewat  bukannya aplikasi  dibuat supaya bisa pesen tiket dari rumah kalo pembayaran hanya bisa dilakukan lewat  sama  harus pergi   lewat virtual account gitu biar mudah,"['aplikasi', 'yang', 'keren', 'selalu', 'pake', 'kalo', 'pesen', 'tiket', 'kereta', 'kenapa', 'kenapa', 'gabisa', 'transfer', 'lewat', 'mbanking', 'atau', 'klikbca', 'harus', 'lewat', 'bukannya', 'aplikasi', 'dibuat', 'supaya', 'bisa', 'pesen', 'tiket', 'dari', 'rumah', 'kalo', 'pembayaran', 'hanya', 'bisa', 'dilakukan', 'lewat', 'sama', 'harus', 'pergi', 'lewat', 'virtual', 'account', 'gitu', 'biar', 'mudah']","['aplikasi', 'yang', 'keren', 'selalu', 'menggunakan', 'jika', 'pesan', 'tiket', 'kereta', 'mengapa', 'tidak', 'bisa', 'transfer', 'lewat', 'mobile', 'banking', 'atau', 'klikbca', 'harus', 'lewat', 'bukannya', 'aplikasi', 'dibuat', 'supaya', 'bisa', 'pesan', 'tiket', 'dari', 'rumah', 'jika', 'pembayaran', 'hanya', 'bisa', 'dilakukan', 'lewat', 'sama', 'harus', 'bepergian', 'lewat', 'virtual', 'account', 'begitu', 'agar', 'mudah']","['aplikasi', 'yang', 'keren', 'selalu', 'guna', 'jika', 'pesan', 'tiket', 'kereta', 'mengapa', 'tidak', 'bisa', 'transfer', 'lewat', 'mobile', 'banking', 'atau', 'klikbca', 'harus', 'lewat', 'bukan', 'aplikasi', 'buat', 'supaya', 'bisa', 'pesan', 'tiket', 'dari', 'rumah', 'jika', 'bayar', 'hanya', 'bisa', 'laku', 'lewat', 'sama', 'harus', 'pergi', 'lewat', 'virtual', 'account', 'begitu', 'agar', 'mudah']","['aplikasi', 'keren', 'pesan', 'tiket', 'kereta', 'transfer', 'mobile', 'banking', 'klikbca', 'aplikasi', 'pesan', 'tiket', 'rumah', 'bayar', 'laku', 'pergi', 'virtual', 'account', 'mudah']"
"ga guna banget nyediain online tiket transportasi, pas war malah eror, jujur kecewa, sumpah ga guna banget, jelek, makin maju jaman malah makin banyak eror, niat ga si buka tiket online kai nih, tau saya klo yang pesen banyak, tapi eror dari aplikasi mu ini ga selesai selesai dari tahun kemarin, padhaal di sini banyak yang komplain tapi ga ada perubahan apa apa", guna banget nyediain online tiket transportasi   malah eror jujur kecewa sumpah  guna banget jelek makin maju jaman malah makin banyak eror niat   buka tiket online kai   saya  yang pesen banyak tapi eror dari aplikasi    selesai selesai dari tahun kemarin padhaal  sini banyak yang komplain tapi   perubahan  ,"['guna', 'banget', 'nyediain', 'online', 'tiket', 'transportasi', 'malah', 'eror', 'jujur', 'kecewa', 'sumpah', 'guna', 'banget', 'jelek', 'makin', 'maju', 'jaman', 'malah', 'makin', 'banyak', 'eror', 'niat', 'buka', 'tiket', 'online', 'kai', 'saya', 'yang', 'pesen', 'banyak', 'tapi', 'eror', 'dari', 'aplikasi', 'selesai', 'selesai', 'dari', 'tahun', 'kemarin', 'padhaal', 'sini', 'banyak', 'yang', 'komplain', 'tapi', 'perubahan']","['guna', 'sekali', 'menyediakan', 'online', 'tiket', 'transportasi', 'namun', 'kesalahan', 'jujur', 'kecewa', 'sumpah', 'guna', 'sekali', 'jelek', 'semakin', 'maju', 'zaman', 'namun', 'semakin', 'banyak', 'kesalahan', 'niat', 'buka', 'tiket', 'online', 'kai', 'saya', 'yang', 'pesan', 'banyak', 'tetapi', 'kesalahan', 'dari', 'aplikasi', 'selesai', 'dari', 'tahun', 'kemarin', 'padahal', 'sini', 'banyak', 'yang', 'komplain', 'tetapi', 'perubahan']","['guna', 'sekali', 'sedia', 'online', 'tiket', 'transportasi', 'namun', 'salah', 'jujur', 'kecewa', 'sumpah', 'guna', 'sekali', 'jelek', 'makin', 'maju', 'zaman', 'namun', 'makin', 'banyak', 'salah', 'niat', 'buka', 'tiket', 'online', 'kai', 'saya', 'yang', 'pesan', 'banyak', 'tetapi', 'salah', 'dari', 'aplikasi', 'selesai', 'dari', 'tahun', 'kemarin', 'padahal', 'sini', 'banyak', 'yang', 'komplain', 'tetapi', 'ubah']","['sedia', 'online', 'tiket', 'transportasi', 'salah', 'jujur', 'kecewa', 'sumpah', 'jelek', 'maju', 'zaman', 'salah', 'niat', 'buka', 'tiket', 'online', 'kai', 'pesan', 'salah', 'aplikasi', 'selesai', 'kemarin', 'komplain', 'ubah']"
Mempermudah perjalanan,mempermudah perjalanan,"['mempermudah', 'perjalanan']","['mempermudah', 'perjalanan']","['mudah', 'jalan']","['mudah', 'jalan']"
Cepat dan mudah buat kami,cepat  mudah buat kami,"['cepat', 'mudah', 'buat', 'kami']","['cepat', 'mudah', 'untuk', 'kami']","['cepat', 'mudah', 'untuk', 'kami']","['cepat', 'mudah']"
"udh bbrp kali mau pergi/pulang dadakan selalu kebantu pesen disini & tersedia terus. tp pernah tulisan ""hanya tersedia di loket"" lumayan jd informasi tambahan jg klo di loket msh ada. masukannya: metode pembayarannya cb pake virtual account/ovo/dana ya biar ga ribed disaat mendadak pesen tiket. wktu itu pnh nyoba pake BNI mobile ga bs ujung2nya ke atm juga", bbrp kali  pergipulang dadakan selalu kebantu pesen disini tersedia terus  pernah tulisan hanya tersedia  loket lumayan  informasi tambahan    loket   masukannya metode pembayarannya  pake virtual accountovodana  biar  ribed disaat mendadak pesen tiket wktu   nyoba pake  mobile   ujungnya   juga,"['bbrp', 'kali', 'pergipulang', 'dadakan', 'selalu', 'kebantu', 'pesen', 'disini', 'tersedia', 'terus', 'pernah', 'tulisan', 'hanya', 'tersedia', 'loket', 'lumayan', 'informasi', 'tambahan', 'loket', 'masukannya', 'metode', 'pembayarannya', 'pake', 'virtual', 'accountovodana', 'biar', 'ribed', 'disaat', 'mendadak', 'pesen', 'tiket', 'wktu', 'nyoba', 'pake', 'mobile', 'ujungnya', 'juga']","['beberapa', 'terkadang', 'pergi', 'pulang', 'mendadak', 'selalu', 'kebantu', 'pesan', 'disini', 'tersedia', 'kemudian', 'pernah', 'tulisan', 'hanya', 'tersedia', 'loket', 'cukup', 'baik', 'informasi', 'tambahan', 'loket', 'masukannya', 'metode', 'pembayarannya', 'menggunakan', 'virtual', 'akun', 'ovo', 'dana', 'agar', 'ribet', 'disaat', 'mendadak', 'pesan', 'tiket', 'Waktu', 'nyoba', 'menggunakan', 'mobile', 'ujung', 'nya', 'juga']","['beberapa', 'terkadang', 'pergi', 'pulang', 'dadak', 'selalu', 'bantu', 'pesan', 'sini', 'sedia', 'kemudian', 'pernah', 'tulis', 'hanya', 'sedia', 'loket', 'cukup', 'baik', 'informasi', 'tambah', 'loket', 'masuk', 'metode', 'bayar', 'guna', 'virtual', 'akun', 'ovo', 'dana', 'agar', 'ribet', 'saat', 'dadak', 'pesan', 'tiket', 'waktu', 'nyoba', 'guna', 'mobile', 'ujung', 'nya', 'juga']","['terkadang', 'pergi', 'pulang', 'dadak', 'bantu', 'pesan', 'sedia', 'tulis', 'sedia', 'loket', 'informasi', 'loket', 'masuk', 'metode', 'bayar', 'virtual', 'akun', 'ovo', 'dana', 'ribet', 'dadak', 'pesan', 'tiket', 'nyoba', 'mobile', 'ujung']"
