score,content,case folding,remove punctuation,stopword,normalized,stemming teks,token count
5,"Saya sebenarnya kurang setuju dgn pemberlakuan wajib menggunakan e tiket seperti ini karena tdk sesuai untuk para lansia dan org2 tidak mampu yg tdk memiliki android atau keduanya. Ini hanya memudahkan bagi golongan tertentu saja, selain itu, menurut saya aplikasi ini belum matang dan masih banyak terjadi error. Monopoli pembayaran oleh linkAja juga memberatkan, seperti gojek dgn gopay, grab dgn ovo dan KAI dengan linkAja, harus ada brp dompet dibagi2 seperti ini tidak lah efektif. Terimakasih.","saya sebenarnya kurang setuju dgn pemberlakuan wajib menggunakan e tiket seperti ini karena tdk sesuai untuk para lansia dan org2 tidak mampu yg tdk memiliki android atau keduanya. ini hanya memudahkan bagi golongan tertentu saja, selain itu, menurut saya aplikasi ini belum matang dan masih banyak terjadi error. monopoli pembayaran oleh linkaja juga memberatkan, seperti gojek dgn gopay, grab dgn ovo dan kai dengan linkaja, harus ada brp dompet dibagi2 seperti ini tidak lah efektif. terimakasih.",saya sebenarnya kurang setuju  pemberlakuan wajib menggunakan  tiket seperti  karena  sesuai untuk para lansia   tidak mampu   memiliki android atau keduanya  hanya memudahkan bagi golongan tertentu saja selain  menurut saya aplikasi  belum matang  masih banyak terjadi error monopoli pembayaran oleh linkaja juga memberatkan seperti gojek  gopay grab     dengan linkaja harus   dompet dibagi seperti  tidak  efektif terimakasih,"['setuju', 'pemberlakuan', 'wajib', 'tiket', 'sesuai', 'lansia', 'memiliki', 'android', 'memudahkan', 'golongan', 'aplikasi', 'matang', 'error', 'monopoli', 'pembayaran', 'linkaja', 'memberatkan', 'gojek', 'gopay', 'grab', 'linkaja', 'dompet', 'dibagi', 'efektif', 'terimakasih']","['setuju', 'pemberlakuan', 'wajib', 'tiket', 'sesuai', 'lansia', 'memiliki', 'android', 'memudahkan', 'golongan', 'aplikasi', 'matang', 'kesalahan', 'monopoli', 'pembayaran', 'linkaja', 'memberatkan', 'gojek', 'gopay', 'grab', 'linkaja', 'dompet', 'dibagi', 'efektif', 'terima', 'kasih']","['tuju', 'laku', 'wajib', 'tiket', 'sesuai', 'lansia', 'milik', 'android', 'mudah', 'golong', 'aplikasi', 'matang', 'salah', 'monopoli', 'bayar', 'linkaja', 'berat', 'gojek', 'gopay', 'grab', 'linkaja', 'dompet', 'bagi', 'efektif', 'terima', 'kasih']",26
5,"Nice App, Cuman Kadang Sering Error. Kalau Aplikasi dalam tahap pembenahan tolong bisa diinfokan ke media sosialnya juag yaa, agar para user tahu bahwa apknya sedang maintenance atau pembenahan. Yaa untuk ukuran Pengembangan Sudah Cukup Bagus. Sudah Bintang Lima Yaa, Pelayanan Selalu Memuaskan yaa😊","nice app, cuman kadang sering error. kalau aplikasi dalam tahap pembenahan tolong bisa diinfokan ke media sosialnya juag yaa, agar para user tahu bahwa apknya sedang maintenance atau pembenahan. yaa untuk ukuran pengembangan sudah cukup bagus. sudah bintang lima yaa, pelayanan selalu memuaskan yaa😊",nice  cuman kadang sering error kalau aplikasi dalam tahap pembenahan tolong bisa diinfokan  media sosialnya juag  agar para user tahu bahwa apknya sedang maintenance atau pembenahan  untuk ukuran pengembangan sudah cukup bagus sudah bintang lima  pelayanan selalu memuaskan ,"['nice', 'cuman', 'kadang', 'error', 'aplikasi', 'tahap', 'pembenahan', 'tolong', 'diinfokan', 'media', 'sosialnya', 'juag', 'user', 'apknya', 'maintenance', 'pembenahan', 'ukuran', 'pengembangan', 'bagus', 'bintang', 'pelayanan', 'memuaskan']","['bagus', 'hanya', 'terkadang', 'kesalahan', 'aplikasi', 'tahap', 'pembenahan', 'tolong', 'diinformasikan', 'media', 'sosialnya', 'juga', 'pengguna', 'aplikasinya', 'pemeliharaan', 'pembenahan', 'ukuran', 'pengembangan', 'bagus', 'bintang', 'pelayanan', 'memuaskan']","['bagus', 'hanya', 'terkadang', 'salah', 'aplikasi', 'tahap', 'benah', 'tolong', 'informasi', 'media', 'sosial', 'juga', 'guna', 'aplikasi', 'pelihara', 'benah', 'ukur', 'kembang', 'bagus', 'bintang', 'layan', 'muas']",22
5,"Habis di upgrade malah akun tidak bisa di akses.. sampai perlu penanganan CS, dan akhirnya semua histori hilang... Yuuk PT.KAI tingkatkan aplikasinya yah.. agar tidak terjadi lagi saat upgrade sistem... #sbg pelanggan setia anda 😊","habis di upgrade malah akun tidak bisa di akses.. sampai perlu penanganan cs, dan akhirnya semua histori hilang... yuuk pt.kai tingkatkan aplikasinya yah.. agar tidak terjadi lagi saat upgrade sistem... #sbg pelanggan setia anda 😊",habis  upgrade malah akun tidak bisa  akses sampai perlu penanganan   akhirnya semua histori hilang yuuk ptkai tingkatkan aplikasinya  agar tidak terjadi lagi saat upgrade sistem pelanggan setia anda,"['habis', 'upgrade', 'akun', 'akses', 'penanganan', 'histori', 'hilang', 'ptkai', 'tingkatkan', 'aplikasinya', 'upgrade', 'sistem', 'pelanggan', 'setia']","['habis', 'pembaruan', 'akun', 'akses', 'penanganan', 'histori', 'hilang', 'pt', 'kai', 'tingkatkan', 'aplikasi', 'nya', 'pembaruan', 'sistem', 'pelanggan', 'setia']","['habis', 'baru', 'akun', 'akses', 'tangan', 'histori', 'hilang', 'pt', 'kai', 'tingkat', 'aplikasi', 'nya', 'baru', 'sistem', 'langgan', 'setia']",16
5,dengan access bu Kai semua jadi mudah memesan tiket KA,dengan access bu kai semua jadi mudah memesan tiket ka,dengan access   semua jadi mudah memesan tiket ,"['access', 'mudah', 'memesan', 'tiket']","['access', 'mudah', 'memesan', 'tiket']","['access', 'mudah', 'mes', 'tiket']",4
5,"utk pindah kursi, menngganti nya terlalu lama dan tidak sistematis seperti aplikasi seblm nya.. lebih mudah dalam pemindahan kursi penumpang.. selebih nya, keren.. kereta Api Alternatif Perjalanan terbaik saat ini.","utk pindah kursi, menngganti nya terlalu lama dan tidak sistematis seperti aplikasi seblm nya.. lebih mudah dalam pemindahan kursi penumpang.. selebih nya, keren.. kereta api alternatif perjalanan terbaik saat ini.", pindah kursi menngganti  terlalu lama  tidak sistematis seperti aplikasi seblm  lebih mudah dalam pemindahan kursi penumpang selebih  keren kereta  alternatif perjalanan terbaik saat ,"['pindah', 'kursi', 'menngganti', 'sistematis', 'aplikasi', 'seblm', 'mudah', 'pemindahan', 'kursi', 'penumpang', 'selebih', 'keren', 'kereta', 'alternatif', 'perjalanan', 'terbaik']","['pindah', 'kursi', 'mengganti', 'sistematis', 'aplikasi', 'sebelum', 'mudah', 'pemindahan', 'kursi', 'penumpang', 'selebih', 'keren', 'kereta', 'alternatif', 'perjalanan', 'terbaik']","['pindah', 'kursi', 'ganti', 'sistematis', 'aplikasi', 'belum', 'mudah', 'pindah', 'kursi', 'tumpang', 'lebih', 'keren', 'kereta', 'alternatif', 'jalan', 'baik']",16
5,Pelayanan baik menyenangkan perjalanan semua jadi lancar dan selalu mendapatkan tempat duduk tidak berdesak desakan lagi seperti dahulu.datangnya juga tepat waktu.hampir tiap jam ada trayek.,pelayanan baik menyenangkan perjalanan semua jadi lancar dan selalu mendapatkan tempat duduk tidak berdesak desakan lagi seperti dahulu.datangnya juga tepat waktu.hampir tiap jam ada trayek.,pelayanan baik menyenangkan perjalanan semua jadi lancar  selalu mendapatkan tempat duduk tidak berdesak desakan lagi seperti dahuludatangnya juga tepat waktuhampir tiap   trayek,"['pelayanan', 'menyenangkan', 'perjalanan', 'lancar', 'duduk', 'berdesak', 'desakan', 'dahuludatangnya', 'waktuhampir', 'trayek']","['pelayanan', 'menyenangkan', 'perjalanan', 'lancar', 'duduk', 'berdesak', 'desakan', 'dahulu', 'datangnya', 'waktu', 'hampir', 'rute']","['layan', 'senang', 'jalan', 'lancar', 'duduk', 'desak', 'desa', 'dahulu', 'datang', 'waktu', 'hampir', 'rute']",12
5,"Setelah 10 thn, baru 2 minggu lalu sy kembali naik kereta, dan menggunakan aplikasi ini, secara umum bagus dan sgt membantu, awalny terkendala aplikasi tdk bisa dibuka, tp sdh ada jawaban teknis dr KAI dan sy ikuti dan bisa, proses buka akun, verifikasi, login tdk terkendala. Kendala ada d metode pembayaran, yg selalu dikatakan waktu anda habis. Kendala jg kalau penumpang lbh dr 4.","setelah 10 thn, baru 2 minggu lalu sy kembali naik kereta, dan menggunakan aplikasi ini, secara umum bagus dan sgt membantu, awalny terkendala aplikasi tdk bisa dibuka, tp sdh ada jawaban teknis dr kai dan sy ikuti dan bisa, proses buka akun, verifikasi, login tdk terkendala. kendala ada d metode pembayaran, yg selalu dikatakan waktu anda habis. kendala jg kalau penumpang lbh dr 4.",setelah  baru minggu lalu  kembali naik kereta  menggunakan aplikasi  secara umum bagus   membantu awalny terkendala aplikasi  bisa dibuka    jawaban teknis     ikuti  bisa proses buka akun verifikasi login  terkendala kendala   metode pembayaran  selalu dikatakan waktu anda habis kendala  kalau penumpang  ,"['minggu', 'kereta', 'aplikasi', 'bagus', 'membantu', 'awalny', 'terkendala', 'aplikasi', 'dibuka', 'teknis', 'ikuti', 'proses', 'buka', 'akun', 'verifikasi', 'login', 'terkendala', 'kendala', 'metode', 'pembayaran', 'habis', 'kendala', 'penumpang']","['minggu', 'kereta', 'aplikasi', 'bagus', 'membantu', 'awalnya', 'terkendala', 'aplikasi', 'dibuka', 'teknis', 'ikuti', 'proses', 'buka', 'akun', 'verifikasi', 'masuk', 'aplikasi', 'terkendala', 'masalah', 'metode', 'pembayaran', 'habis', 'masalah', 'penumpang']","['minggu', 'kereta', 'aplikasi', 'bagus', 'bantu', 'awal', 'kendala', 'aplikasi', 'buka', 'teknis', 'ikut', 'proses', 'buka', 'akun', 'verifikasi', 'masuk', 'aplikasi', 'kendala', 'masalah', 'metode', 'bayar', 'habis', 'masalah', 'tumpang']",24
5,"Aplikasi ini sudah bagus. Tp saya mau kasih masukan lagi untuk aplikasi ini.. Soal lupa password untuk bisa ditambahin pilihan pengiriman tautan ke no.hp juga jangan cuma email saja. Gimana, Oke gak min? Ini saya ada kasus, saya lupa nama email yg lama yg buat daftar itu apa. Dan skrg saya mau dftar pakai email baru dan no.hp yg lama gak bisa, soalnya no.hp saya yg lama sudah tersimpan di database KAI access.. Atau ada pilihan lain gak min agar bisa tetep pakai no.hp yg lama? Terima kasih.!","aplikasi ini sudah bagus. tp saya mau kasih masukan lagi untuk aplikasi ini.. soal lupa password untuk bisa ditambahin pilihan pengiriman tautan ke no.hp juga jangan cuma email saja. gimana, oke gak min? ini saya ada kasus, saya lupa nama email yg lama yg buat daftar itu apa. dan skrg saya mau dftar pakai email baru dan no.hp yg lama gak bisa, soalnya no.hp saya yg lama sudah tersimpan di database kai access.. atau ada pilihan lain gak min agar bisa tetep pakai no.hp yg lama? terima kasih.!",aplikasi  sudah bagus  saya  kasih masukan lagi untuk aplikasi  soal lupa password untuk bisa ditambahin pilihan pengiriman tautan  nohp juga jangan cuma email saja gimana     saya  kasus saya lupa nama email  lama  buat daftar    skrg saya  dftar pakai email baru  nohp  lama  bisa soalnya nohp saya  lama sudah tersimpan  database  access atau  pilihan lain   agar bisa tetep pakai nohp  lama terima kasih,"['aplikasi', 'bagus', 'kasih', 'masukan', 'aplikasi', 'lupa', 'password', 'ditambahin', 'pilihan', 'pengiriman', 'tautan', 'nohp', 'email', 'gimana', 'lupa', 'nama', 'email', 'daftar', 'skrg', 'dftar', 'pakai', 'email', 'nohp', 'nohp', 'tersimpan', 'database', 'access', 'pilihan', 'tetep', 'pakai', 'nohp', 'terima', 'kasih']","['aplikasi', 'bagus', 'kasih', 'masukan', 'aplikasi', 'lupa', 'kata', 'sandi', 'ditambahin', 'pilihan', 'pengiriman', 'tautan', 'nomor', 'telepon', 'email', 'bagaimana', 'lupa', 'nama', 'email', 'daftar', 'sekarang', 'daftar', 'gunakan', 'email', 'nomor', 'telepon', 'nomor', 'telepon', 'tersimpan', 'database', 'access', 'pilihan', 'tetap', 'gunakan', 'nomor', 'telepon', 'terima', 'kasih']","['aplikasi', 'bagus', 'kasih', 'masuk', 'aplikasi', 'lupa', 'kata', 'sandi', 'ditambahin', 'pilih', 'kirim', 'taut', 'nomor', 'telepon', 'email', 'bagaimana', 'lupa', 'nama', 'email', 'daftar', 'sekarang', 'daftar', 'guna', 'email', 'nomor', 'telepon', 'nomor', 'telepon', 'simpan', 'database', 'access', 'pilih', 'tetap', 'guna', 'nomor', 'telepon', 'terima', 'kasih']",38
5,"semenjak ada aplikasi kai access saya sangat mudah untuk berpergian karena bisa langsung pesan tiket lewat aplikasi, tidak usah pergi ke stasiun, karena saya sering berpergian jadi aplikasi ini sangat memudahkan untuk saya","semenjak ada aplikasi kai access saya sangat mudah untuk berpergian karena bisa langsung pesan tiket lewat aplikasi, tidak usah pergi ke stasiun, karena saya sering berpergian jadi aplikasi ini sangat memudahkan untuk saya",semenjak  aplikasi kai access saya sangat mudah untuk berpergian karena bisa langsung pesan tiket lewat aplikasi tidak usah pergi  stasiun karena saya sering berpergian jadi aplikasi  sangat memudahkan untuk saya,"['semenjak', 'aplikasi', 'kai', 'access', 'mudah', 'berpergian', 'langsung', 'pesan', 'tiket', 'aplikasi', 'pergi', 'stasiun', 'berpergian', 'aplikasi', 'memudahkan']","['sejak', 'aplikasi', 'kai', 'access', 'mudah', 'berpergian', 'langsung', 'pesan', 'tiket', 'aplikasi', 'bepergian', 'stasiun', 'berpergian', 'aplikasi', 'memudahkan']","['sejak', 'aplikasi', 'kai', 'access', 'mudah', 'pergi', 'langsung', 'pesan', 'tiket', 'aplikasi', 'pergi', 'stasiun', 'pergi', 'aplikasi', 'mudah']",15
5,Aplikasi yang keren dan selalu pake ini kalo mau pesen tiket kereta. Tp KENAPA? Kenapa gabisa transfer lewat mbanking atau klikbca? Harus lewat ATM. Bukannya aplikasi ini dibuat supaya bisa pesen tiket dari rumah? Kalo pembayaran hanya bisa dilakukan lewat ATM sama aja harus pergi. Gak ada lewat virtual account gitu? Biar mudah,aplikasi yang keren dan selalu pake ini kalo mau pesen tiket kereta. tp kenapa? kenapa gabisa transfer lewat mbanking atau klikbca? harus lewat atm. bukannya aplikasi ini dibuat supaya bisa pesen tiket dari rumah? kalo pembayaran hanya bisa dilakukan lewat atm sama aja harus pergi. gak ada lewat virtual account gitu? biar mudah,aplikasi yang keren  selalu pake  kalo  pesen tiket kereta  kenapa kenapa gabisa transfer lewat mbanking atau klikbca harus lewat  bukannya aplikasi  dibuat supaya bisa pesen tiket dari rumah kalo pembayaran hanya bisa dilakukan lewat  sama  harus pergi   lewat virtual account gitu biar mudah,"['aplikasi', 'keren', 'pake', 'pesen', 'tiket', 'kereta', 'gabisa', 'transfer', 'mbanking', 'klikbca', 'aplikasi', 'pesen', 'tiket', 'rumah', 'pembayaran', 'pergi', 'virtual', 'account', 'gitu', 'mudah']","['aplikasi', 'keren', 'pakai', 'pesan', 'tiket', 'kereta', 'tidak', 'bisa', 'transfer', 'mobile', 'banking', 'klikbca', 'aplikasi', 'pesan', 'tiket', 'rumah', 'pembayaran', 'bepergian', 'virtual', 'akun', 'begitu', 'mudah']","['aplikasi', 'keren', 'pakai', 'pesan', 'tiket', 'kereta', 'tidak', 'bisa', 'transfer', 'mobile', 'banking', 'klikbca', 'aplikasi', 'pesan', 'tiket', 'rumah', 'bayar', 'pergi', 'virtual', 'akun', 'begitu', 'mudah']",22
5,"ga guna banget nyediain online tiket transportasi, pas war malah eror, jujur kecewa, sumpah ga guna banget, jelek, makin maju jaman malah makin banyak eror, niat ga si buka tiket online kai nih, tau saya klo yang pesen banyak, tapi eror dari aplikasi mu ini ga selesai selesai dari tahun kemarin, padhaal di sini banyak yang komplain tapi ga ada perubahan apa apa","ga guna banget nyediain online tiket transportasi, pas war malah eror, jujur kecewa, sumpah ga guna banget, jelek, makin maju jaman malah makin banyak eror, niat ga si buka tiket online kai nih, tau saya klo yang pesen banyak, tapi eror dari aplikasi mu ini ga selesai selesai dari tahun kemarin, padhaal di sini banyak yang komplain tapi ga ada perubahan apa apa", guna banget nyediain online tiket transportasi   malah eror jujur kecewa sumpah  guna banget jelek makin maju jaman malah makin banyak eror niat   buka tiket online kai   saya  yang pesen banyak tapi eror dari aplikasi    selesai selesai dari tahun kemarin padhaal  sini banyak yang komplain tapi   perubahan  ,"['banget', 'nyediain', 'online', 'tiket', 'transportasi', 'eror', 'jujur', 'kecewa', 'sumpah', 'banget', 'jelek', 'maju', 'jaman', 'eror', 'niat', 'buka', 'tiket', 'online', 'kai', 'pesen', 'eror', 'aplikasi', 'selesai', 'selesai', 'kemarin', 'padhaal', 'komplain', 'perubahan']","['sekali', 'menyediakan', 'online', 'tiket', 'transportasi', 'bermasalah', 'jujur', 'kecewa', 'sumpah', 'sekali', 'jelek', 'maju', 'zaman', 'bermasalah', 'niat', 'buka', 'tiket', 'online', 'kai', 'pesan', 'bermasalah', 'aplikasi', 'selesai', 'kemarin', 'padahal', 'komplain', 'perubahan']","['sekali', 'sedia', 'online', 'tiket', 'transportasi', 'masalah', 'jujur', 'kecewa', 'sumpah', 'sekali', 'jelek', 'maju', 'zaman', 'masalah', 'niat', 'buka', 'tiket', 'online', 'kai', 'pesan', 'masalah', 'aplikasi', 'selesai', 'kemarin', 'padahal', 'komplain', 'ubah']",27
5,Mempermudah perjalanan,mempermudah perjalanan,mempermudah perjalanan,"['mempermudah', 'perjalanan']","['mempermudah', 'perjalanan']","['mudah', 'jalan']",2
5,Cepat dan mudah buat kami,cepat dan mudah buat kami,cepat  mudah buat kami,"['cepat', 'mudah']","['cepat', 'mudah']","['cepat', 'mudah']",2
5,"udh bbrp kali mau pergi/pulang dadakan selalu kebantu pesen disini & tersedia terus. tp pernah tulisan ""hanya tersedia di loket"" lumayan jd informasi tambahan jg klo di loket msh ada. masukannya: metode pembayarannya cb pake virtual account/ovo/dana ya biar ga ribed disaat mendadak pesen tiket. wktu itu pnh nyoba pake BNI mobile ga bs ujung2nya ke atm juga","udh bbrp kali mau pergi/pulang dadakan selalu kebantu pesen disini & tersedia terus. tp pernah tulisan ""hanya tersedia di loket"" lumayan jd informasi tambahan jg klo di loket msh ada. masukannya: metode pembayarannya cb pake virtual account/ovo/dana ya biar ga ribed disaat mendadak pesen tiket. wktu itu pnh nyoba pake bni mobile ga bs ujung2nya ke atm juga", bbrp kali  pergipulang dadakan selalu kebantu pesen disini tersedia terus  pernah tulisan hanya tersedia  loket lumayan  informasi tambahan    loket   masukannya metode pembayarannya  pake virtual accountovodana  biar  ribed disaat mendadak pesen tiket wktu   nyoba pake  mobile   ujungnya   juga,"['bbrp', 'kali', 'pergipulang', 'dadakan', 'kebantu', 'pesen', 'tersedia', 'tulisan', 'tersedia', 'loket', 'lumayan', 'informasi', 'tambahan', 'loket', 'masukannya', 'metode', 'pembayarannya', 'pake', 'virtual', 'accountovodana', 'ribed', 'disaat', 'mendadak', 'pesen', 'tiket', 'wktu', 'nyoba', 'pake', 'mobile', 'ujungnya']","['beberapa', 'terkadang', 'pergi', 'pulang', 'mendadak', 'kebantu', 'pesan', 'tersedia', 'tulisan', 'tersedia', 'loket', 'cukup', 'baik', 'informasi', 'tambahan', 'loket', 'masukannya', 'metode', 'pembayarannya', 'pakai', 'virtual', 'akun', 'ovo', 'dana', 'ribet', 'disaat', 'mendadak', 'pesan', 'tiket', 'Waktu', 'nyoba', 'pakai', 'mobile', 'ujung', 'nya']","['beberapa', 'terkadang', 'pergi', 'pulang', 'dadak', 'bantu', 'pesan', 'sedia', 'tulis', 'sedia', 'loket', 'cukup', 'baik', 'informasi', 'tambah', 'loket', 'masuk', 'metode', 'bayar', 'pakai', 'virtual', 'akun', 'ovo', 'dana', 'ribet', 'saat', 'dadak', 'pesan', 'tiket', 'waktu', 'nyoba', 'pakai', 'mobile', 'ujung', 'nya']",35
5,Bagus banget jadi GK ngantri di loket semoga st Brebes Jawa Tengah menjadi st besar tambah kereta nya amin🙏 solnya setia mau berangkat pagi sore MLM susah .. solnya GK ada keberatan pagi MLM sore ? Tolong dong stasiun Brebes tambah kereta lagi KA Majapahit sama ka Brawijaya kA Blambangan ekspres kA Gumarang KA Argo Muria bisa di perpanjang sape Brebes,bagus banget jadi gk ngantri di loket semoga st brebes jawa tengah menjadi st besar tambah kereta nya amin🙏 solnya setia mau berangkat pagi sore mlm susah .. solnya gk ada keberatan pagi mlm sore ? tolong dong stasiun brebes tambah kereta lagi ka majapahit sama ka brawijaya ka blambangan ekspres ka gumarang ka argo muria bisa di perpanjang sape brebes,bagus banget jadi  ngantri  loket semoga  brebes jawa tengah menjadi  besar tambah kereta  amin solnya setia  berangkat pagi sore  susah solnya   keberatan pagi  sore tolong dong stasiun brebes tambah kereta lagi  majapahit sama  brawijaya  blambangan ekspres  gumarang  argo muria bisa  perpanjang sape brebes,"['bagus', 'banget', 'ngantri', 'loket', 'semoga', 'brebes', 'jawa', 'kereta', 'amin', 'solnya', 'setia', 'berangkat', 'pagi', 'sore', 'susah', 'solnya', 'keberatan', 'pagi', 'sore', 'tolong', 'stasiun', 'brebes', 'kereta', 'majapahit', 'brawijaya', 'blambangan', 'ekspres', 'gumarang', 'argo', 'muria', 'perpanjang', 'sape', 'brebes']","['bagus', 'sekali', 'ngantre', 'loket', 'semoga', 'brebes', 'jawa', 'kereta', 'amin', 'soalnya', 'setia', 'berangkat', 'pagi', 'sore', 'sulit', 'soalnya', 'keberatan', 'pagi', 'sore', 'tolong', 'stasiun', 'brebes', 'kereta', 'majapahit', 'brawijaya', 'blambangan', 'ekspres', 'gumarang', 'argo', 'muria', 'perpanjang', 'sampe', 'brebes']","['bagus', 'sekali', 'ngantre', 'loket', 'moga', 'brebes', 'jawa', 'kereta', 'amin', 'soal', 'setia', 'berangkat', 'pagi', 'sore', 'sulit', 'soal', 'berat', 'pagi', 'sore', 'tolong', 'stasiun', 'brebes', 'kereta', 'majapahit', 'brawijaya', 'blambangan', 'ekspres', 'gumarang', 'argo', 'muria', 'panjang', 'sampe', 'brebes']",33
5,Skrg lebih mudah.. tidak perlu repot untuk cetak tiket krna sudah ada e-boarding nya diperiksa saat dikreta.. menyenangkan lebih di renovasi agar lebih baik,skrg lebih mudah.. tidak perlu repot untuk cetak tiket krna sudah ada e-boarding nya diperiksa saat dikreta.. menyenangkan lebih di renovasi agar lebih baik,skrg lebih mudah tidak perlu repot untuk cetak tiket krna sudah  eboarding  diperiksa saat dikreta menyenangkan lebih  renovasi agar lebih baik,"['skrg', 'mudah', 'repot', 'cetak', 'tiket', 'krna', 'eboarding', 'diperiksa', 'dikreta', 'menyenangkan', 'renovasi']","['sekarang', 'mudah', 'repot', 'cetak', 'tiket', 'karena', 'boarding', 'pass', 'elekronik', 'diperiksa', 'dikreta', 'menyenangkan', 'renovasi']","['sekarang', 'mudah', 'repot', 'cetak', 'tiket', 'karena', 'boarding', 'pass', 'elekronik', 'periksa', 'dikreta', 'senang', 'renovasi']",13
5,"Alhamdulillah Aplikasi ini sangat membantu dalam informasi dan pemesanan tiket KAI.Prosesnya pun Alhamdulillah sangat mudah.Sayangnya saat pembayaran atau pembatalan tiket,Aplikasi ini tidak mensupport Bank BTN dan BSI.Sehingga jadi agak menyulitkan pembayarannya.Padahal inginnya bisa sepenuhnya transaksi melalui aplikasi ini. Mohon KAI segera mensupport Bank BTN dan BSI agar transaksi kami bisa full melalui aplikasi KAI ini. Terima kasih atas kemudahannya.","alhamdulillah aplikasi ini sangat membantu dalam informasi dan pemesanan tiket kai.prosesnya pun alhamdulillah sangat mudah.sayangnya saat pembayaran atau pembatalan tiket,aplikasi ini tidak mensupport bank btn dan bsi.sehingga jadi agak menyulitkan pembayarannya.padahal inginnya bisa sepenuhnya transaksi melalui aplikasi ini. mohon kai segera mensupport bank btn dan bsi agar transaksi kami bisa full melalui aplikasi kai ini. terima kasih atas kemudahannya.",alhamdulillah aplikasi  sangat membantu dalam informasi  pemesanan tiket kaiprosesnya  alhamdulillah sangat mudahsayangnya saat pembayaran atau pembatalan tiketaplikasi  tidak mensupport bank   bsisehingga jadi agak menyulitkan pembayarannyapadahal inginnya bisa sepenuhnya transaksi melalui aplikasi  mohon  segera mensupport bank    agar transaksi kami bisa full melalui aplikasi   terima kasih atas kemudahannya,"['alhamdulillah', 'aplikasi', 'membantu', 'informasi', 'pemesanan', 'tiket', 'kaiprosesnya', 'alhamdulillah', 'mudahsayangnya', 'pembayaran', 'pembatalan', 'tiketaplikasi', 'mensupport', 'bank', 'bsisehingga', 'menyulitkan', 'pembayarannyapadahal', 'inginnya', 'sepenuhnya', 'transaksi', 'aplikasi', 'mohon', 'mensupport', 'bank', 'transaksi', 'full', 'aplikasi', 'terima', 'kasih', 'kemudahannya']","['alhamdulillah', 'aplikasi', 'membantu', 'informasi', 'pemesanan', 'tiket', 'kai', 'proses', 'nya', 'alhamdulillah', 'mudah', 'sayang', 'nya', 'pembayaran', 'pembatalan', 'tiket', 'aplikasi', 'me', 'support', 'bank', 'bisa', 'sehingga', 'menyulit', 'kan', 'pembayarannya', 'padahal', 'inginnya', 'sepenuhnya', 'transaksi', 'aplikasi', 'mohon', 'me', 'support', 'bank', 'transaksi', 'penuh', 'aplikasi', 'terima', 'kasih', 'kemudahan', 'ya']","['alhamdulillah', 'aplikasi', 'bantu', 'informasi', 'mesan', 'tiket', 'kai', 'proses', 'nya', 'alhamdulillah', 'mudah', 'sayang', 'nya', 'bayar', 'batal', 'tiket', 'aplikasi', 'me', 'support', 'bank', 'bisa', 'sehingga', 'sulit', 'kan', 'bayar', 'padahal', 'ingin', 'sepenuh', 'transaksi', 'aplikasi', 'mohon', 'me', 'support', 'bank', 'transaksi', 'penuh', 'aplikasi', 'terima', 'kasih', 'mudah', 'ya']",41
5,Aplikasi cukup stabil. Masukan untuk bisa otomatis mengetahui penumpang termasuk yg berhak dapat reduksi (manula). Bisa dari inputan tanggal lahir di ktp atau verifikasi sebelumnya (online),aplikasi cukup stabil. masukan untuk bisa otomatis mengetahui penumpang termasuk yg berhak dapat reduksi (manula). bisa dari inputan tanggal lahir di ktp atau verifikasi sebelumnya (online),aplikasi cukup stabil masukan untuk bisa otomatis mengetahui penumpang termasuk  berhak dapat reduksi manula bisa dari inputan tanggal lahir   atau verifikasi sebelumnya online,"['aplikasi', 'stabil', 'masukan', 'otomatis', 'penumpang', 'berhak', 'reduksi', 'manula', 'inputan', 'tanggal', 'lahir', 'verifikasi', 'online']","['aplikasi', 'stabil', 'masukan', 'otomatis', 'penumpang', 'berhak', 'reduksi', 'manula', 'inputan', 'tanggal', 'lahir', 'verifikasi', 'online']","['aplikasi', 'stabil', 'masuk', 'otomatis', 'tumpang', 'hak', 'reduksi', 'manula', 'inputan', 'tanggal', 'lahir', 'verifikasi', 'online']",13
